what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_16",1297079516142
java.vm.info,sysinfo,,,"mixed mode, sharing",1297079516142
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1297079516142
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1297079516142
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297079516142
java.vm.specification.version,sysinfo,,,"1.0",1297079516142
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1297079516142
java.vm.version,sysinfo,,,"14.2-b01",1297079516142
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1297079516389
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1297079516718
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1297079517474
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1297079517759
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1297079517807
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1297079517998
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1297079518551
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1297079518770
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1297079520078
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1297079520195
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1297079520220
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1297079520482
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1297079520483
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297079525201
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1297079525979
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297096044676
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297149552998
